name,latitude,longitude,free_bikes,empty_slots
Argenson - Château,48.888559314669514,2.2642001509666447,10,15
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,5,22
Saint-Maur - République,48.864185861455,2.3783174157143,6,30
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,14,13
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,4,24
Pernety - Raymond Losserand,48.834254627953,2.317609339387,1,31
Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,33,1
Belleville - Télégraphe,48.8756045,2.3995549,2,39
Abbeville - Faubourg Poissonnière,48.879223,2.349147,2,12
Porte de Pantin.,48.889199725577,2.3950181901455,3,26
Passy - Place du Costa Rica,48.8584893,2.2839655,10,23
Miromesnil - La Boétie,48.873722412917,2.3158480972052,24,10
Place Etienne Pernet,48.84243457133779,2.2921819612383847,9,34
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,7,16
Saint-Augustin,48.8762009747008,2.319786250591278,34,10
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,5,13
Colonel Monteil - Brune,48.82650293311,2.3092747998272,0,19
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,28
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,21,3
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,2,21
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,2,49
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,6,38
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,5,22
Mornay - Sully,48.84970399548416,2.364460788667202,8,6
Suzanne Masson,48.923306888013,2.3847292397611,14,23
Legendre - Clichy,48.88896161855884,2.322528975094376,5,34
Place Charles de Gaulle,48.826073335699,2.1894485725692,2,21
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6,9
Bridaine - Lamandé,48.8862074,2.3206239,6,23
Ney - Porte de Montmartre,48.897918,2.3364872,1,21
Place du Canada,48.865346269363,2.3101937879648,39,19
Francoeur - Marcadet,48.89104123261663,2.340014585442034,3,17
Georges V - François 1er,48.87034,2.30082,12,10
Gare de Pont-Cardinet,48.88713901475306,2.314494143994255,7,25
Square Pierre Lazareff,48.867141720746,2.3483933508396,11,5
Marceau - Chaillot,48.868834023334,2.2986030816809,12,6
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,7,16
Edouard Vaillant - Galliéni,48.858462881661,2.4147954583168,3,44
Gare Rosny-Bois-Perrier,48.88115023337061,2.480436824262142,29,6
Condorcet - Turgot,48.87985155789093,2.345232367515564,8,12
Cordelières - Arago,48.83548071896613,2.348572461702221,6,36
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,1,20
Mairie du 2ème,48.8672190355135,2.3404625437747044,18,9
Philippe-Auguste,48.851853488265,2.3932945355773,4,44
Charles Delescluze,48.85242200848887,2.380632497370243,22,25
Place de la Montagne du Goulet,48.8443415,2.2773844,15,4
Place de la Madeleine - Royale,48.869228052648,2.324421107769,28,13
Geoffroy-Saint-Hilaire - Saint-Marcel,48.83907826424974,2.356877340669728,7,9
Le Corbusier - Jean Jaurès,48.83780830557548,2.2408381104469304,34,12
Lorraine - Jean Jaurès,48.8863865,2.3825772,3,13
Mairie,48.87914304162,2.4163350908311,0,20
Raspail - Bac,48.855628721101,2.3256602883339,29,23
Raymond Poincaré - Allée de la Marche,48.838634069623,2.1724102640451,2,20
Place Tristan Bernard,48.8794936,2.2915423,7,20
Cité Vaneau,48.8542210666207,2.319614924490452,16,10
Edgar Quinet - Gaité,48.841160928966,2.324595451355,4,23
Romainville - Vaillant-Couturier,48.86785,2.446748,2,34
Surcouf - Université,48.861273016278,2.3094535509142,51,4
Vaugirard - Pasteur,48.84040868803496,2.3154367133975033,4,17
Jean Calvin - Tournefort,48.84158856925782,2.348489575088024,3,25
Mozart - Jasmin,48.85286124871689,2.268483570651513,8,54
Hippodrome de Longchamp,48.86413226532,2.239905372262,3,23
Théophile Gautier - François Millet,48.85034821320644,2.273029983043671,18,11
Porte de Clignancourt - Ney,48.899641123987095,2.344321422278881,5,33
Plantes - Moulin Vert,48.83005755305626,2.3232302069664006,4,40
Porte de Clichy - Place des Nations Unies,48.896737263309504,2.310542999196392,7,32
Champ de Mars - Cler,48.856691550115315,2.306646779179573,18,21
Vaneau - Sèvres,48.848563233059,2.3204218259346,20,15
Marcelle - Thalie,48.8835462,2.4137883,0,20
Danielle Casanova - Place Vendôme,48.868266498223,2.3304839059711,26,10
Westermeyer - Paul Vaillant-Couturier,48.819116181578764,2.3966637253761296,22,6
Boyer - Ménilmontant,48.868895162679,2.3919824145635,3,16
Argenteuil - Voltaire,48.918648659556,2.281411215663,5,11
Place de la Bastille - Bourdon,48.852364355271,2.3681089282036,28,6
Dunkerque - Trudaine,48.88215166773376,2.3463253676891327,4,12
Hôtel de Ville de Chaville,48.80887149094033,2.188134044408798,3,15
Commerce - Letellier,48.84797660373612,2.2966245196598805,29,12
Jean Bouin - Gouverneur Général Eboué,48.824792734266,2.2651904328524,8,23
Temple - Charlot,48.865709343796,2.3652737250724,6,38
Emile Zola - Fondary,48.847051143113745,2.2953405976295476,6,35
Paris - Désiré Préaux,48.85742876694898,2.4323049187660217,8,40
Maison de Radio - France,48.85132886434057,2.277785539627075,44,3
Taitbout - La Fayette,48.8733298892,2.3352625966072,47,6
Montparnasse -  Square Ozanam,48.843310567822,2.3265242949128,5,41
Simon Bolivar - Henri Turot,48.877475489801,2.3739709492211,1,21
